# Allan Deviation Measurement
# Start time: 2025-07-01 02:07:29
# SDR Type: RTLSDR, Gain: 50.0 dB, Freq: 1000.0 MHz, Samp Rate: 2.0 Msps
# Collected Data Points: 420184
# Integration Time (s), Allan Deviation
0.1, 0.009016194380819798
0.12589254117941673, 0.009016194380819798
0.15848931924611134, 0.009016194380819798
0.19952623149688797, 0.006669567432254553
0.251188643150958, 0.006669567432254553
0.31622776601683794, 0.006669567432254553
0.3981071705534973, 0.004931415431201458
0.5011872336272724, 0.004931415431201458
0.6309573444801934, 0.004931415431201458
0.7943282347242815, 0.004632814321666956
1.0, 0.004632814321666956
1.2589254117941675, 0.004632814321666956
1.584893192461114, 0.005624172277748585
1.9952623149688797, 0.005624172277748585
2.511886431509581, 0.005624172277748585
3.1622776601683795, 0.0078012035228312016
3.981071705534973, 0.0078012035228312016
5.011872336272725, 0.0078012035228312016
6.309573444801933, 0.011959205381572247
7.943282347242818, 0.011959205381572247
10.0, 0.011959205381572247
12.589254117941675, 0.01815073937177658
15.848931924611142, 0.01815073937177658
19.952623149688808, 0.01815073937177658
25.11886431509582, 0.028872786089777946
31.622776601683793, 0.028872786089777946
39.810717055349734, 0.028872786089777946
50.11872336272725, 0.049945756793022156
63.095734448019364, 0.049945756793022156
79.43282347242821, 0.049945756793022156
100.0, 0.049945756793022156
